,Card1,Card2,Probability
1151,8S,JC,0.275
1152,8S,QC,0.284
1153,8S,KC,0.289
1154,8S,AC,0.325
1155,9S,TS,0.3
1156,9S,JS,0.335
1157,9S,QS,0.326
1158,9S,KS,0.347
1159,9S,AS,0.359
1160,9S,2C,0.161
1161,9S,3C,0.165
1162,9S,4C,0.178
1163,9S,5C,0.192
1164,9S,6C,0.23
1165,9S,7C,0.233
1166,9S,8C,0.267
1167,9S,9C,0.402
1168,9S,TC,0.268
1169,9S,JC,0.293
1170,9S,QC,0.309
1171,9S,KC,0.338
1172,9S,AC,0.338
1173,TS,JS,0.366
1174,TS,QS,0.387
1175,TS,KS,0.362
1176,TS,AS,0.362
1177,TS,2C,0.182
1178,TS,3C,0.167
1179,TS,4C,0.186
1180,TS,5C,0.2
1181,TS,6C,0.196
1182,TS,7C,0.234
1183,TS,8C,0.253
1184,TS,9C,0.308
1185,TS,TC,0.461
1186,TS,JC,0.3
1187,TS,QC,0.334
1188,TS,KC,0.364
1189,TS,AC,0.369
1190,JS,QS,0.404
1191,JS,KS,0.391
1192,JS,AS,0.386
1193,JS,2C,0.188
1194,JS,3C,0.188
1195,JS,4C,0.226
1196,JS,5C,0.219
1197,JS,6C,0.215
1198,JS,7C,0.239
1199,JS,8C,0.266
1200,JS,9C,0.31
1201,JS,TC,0.299
1202,JS,JC,0.48
1203,JS,QC,0.329
1204,JS,KC,0.34
1205,JS,AC,0.389
1206,QS,KS,0.383
1207,QS,AS,0.422
1208,QS,2C,0.203
1209,QS,3C,0.194
1210,QS,4C,0.2
1211,QS,5C,0.236
1212,QS,6C,0.233
1213,QS,7C,0.26
1214,QS,8C,0.278
1215,QS,9C,0.302
1216,QS,TC,0.312
1217,QS,JC,0.35
1218,QS,QC,0.55
1219,QS,KC,0.387
1220,QS,AC,0.393
1221,KS,AS,0.438
1222,KS,2C,0.214
1223,KS,3C,0.213
1224,KS,4C,0.227
1225,KS,5C,0.31
1226,KS,6C,0.258
1227,KS,7C,0.29
1228,KS,8C,0.272
1229,KS,9C,0.275
1230,KS,TC,0.35
1231,KS,JC,0.361
1232,KS,QC,0.354
1233,KS,KC,0.578
1234,KS,AC,0.413
1235,AS,2C,0.235
1236,AS,3C,0.242
1237,AS,4C,0.289
1238,AS,5C,0.274
1239,AS,6C,0.293
1240,AS,7C,0.312
1241,AS,8C,0.302
1242,AS,9C,0.322
1243,AS,TC,0.368
1244,AS,JC,0.392
1245,AS,QC,0.397
1246,AS,KC,0.395
1247,AS,AC,0.649
1248,2C,3C,0.162
1249,2C,4C,0.168
1250,2C,5C,0.157
1251,2C,6C,0.203
1252,2C,7C,0.185
1253,2C,8C,0.193
1254,2C,9C,0.195
1255,2C,TC,0.235
1256,2C,JC,0.216
1257,2C,QC,0.245
1258,2C,KC,0.226
1259,2C,AC,0.282
1260,3C,4C,0.177
1261,3C,5C,0.179
1262,3C,6C,0.207
1263,3C,7C,0.209
1264,3C,8C,0.19
1265,3C,9C,0.222
1266,3C,TC,0.198
1267,3C,JC,0.219
1268,3C,QC,0.243
1269,3C,KC,0.266
1270,3C,AC,0.287
1271,4C,5C,0.216
1272,4C,6C,0.228
1273,4C,7C,0.215
1274,4C,8C,0.221
1275,4C,9C,0.242
1276,4C,TC,0.227
1277,4C,JC,0.215
1278,4C,QC,0.27
1279,4C,KC,0.278
1280,4C,AC,0.282
1281,5C,6C,0.238
1282,5C,7C,0.217
1283,5C,8C,0.227
1284,5C,9C,0.215
1285,5C,TC,0.249
1286,5C,JC,0.263
1287,5C,QC,0.252
1288,5C,KC,0.271
1289,5C,AC,0.318
1290,6C,7C,0.263
1291,6C,8C,0.237
1292,6C,9C,0.243
1293,6C,TC,0.254
1294,6C,JC,0.259
1295,6C,QC,0.28
1296,6C,KC,0.328
1297,6C,AC,0.319
1298,7C,8C,0.284
1299,7C,9C,0.284
1300,7C,TC,0.295
1301,7C,JC,0.277
1302,7C,QC,0.296
1303,7C,KC,0.317
1304,7C,AC,0.339
1305,8C,9C,0.271
1306,8C,TC,0.317
1307,8C,JC,0.27
1308,8C,QC,0.276
1309,8C,KC,0.319
1310,8C,AC,0.347
1311,9C,TC,0.326
1312,9C,JC,0.348
1313,9C,QC,0.341
1314,9C,KC,0.335
1315,9C,AC,0.358
1316,TC,JC,0.327
1317,TC,QC,0.341
1318,TC,KC,0.372
1319,TC,AC,0.396
1320,JC,QC,0.352
1321,JC,KC,0.388
1322,JC,AC,0.407
1323,QC,KC,0.393
1324,QC,AC,0.414
1325,KC,AC,0.418
